Run,Event,Lumi,PID1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,PID2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,PID3,E3,px3,py3,pz3,pt3,eta3,phi3,Q3,PID4,E4,px4,py4,pz4,pt4,eta4,phi4,Q4,mZ1,mZ2,mH
281707,548190874,412,11,139.696,-101.459,-31.4166,-90.7405,106.212,-0.774536,-2.84131,-1,-11,53.0179,-27.9236,37.6849,-24.7188,46.9028,-0.505249,2.2085,1,-13,53.537,49.7662,9.43578,17.3348,50.6528,0.335876,0.187378,1,13,57.605,-33.6943,7.69763,46.0844,34.5624,1.09863,2.91699,-1,88.197,83.8355,276.103
282735,2889347131,1550,11,177.567,59.3835,74.6117,-149.788,95.3588,-1.2334,0.89856,-1,-11,196.718,-12.0222,35.2014,-193.169,37.1978,-2.34961,1.8999,1,13,311.908,-27.4015,-84.3877,-299.023,88.725,-1.92944,-1.88477,-1,-13,56.7005,0.269479,23.0033,-51.8239,23.0049,-1.55127,1.55908,1,90.9662,90.3718,260.33
282735,1494194716,770,-13,124.567,14.6749,-46.4664,114.641,48.7287,1.59106,-1.26489,1,13,33.8543,12.8699,28.6939,12.5351,31.448,0.388733,1.14917,-1,13,66.7734,-22.3615,0.961237,62.9104,22.3821,1.75684,3.09863,-1,-13,41.3241,-7.70342,14.8328,37.793,16.7139,1.55469,2.0498,1,88.5952,19.762,138.178
283358,424232620,236,-11,139.838,-54.0081,52.2688,-117.923,75.1592,-1.23242,2.37256,1,11,67.2616,22.4079,-25.9759,-57.8555,34.3054,-1.29395,-0.859009,-1,13,65.8486,52.4105,-27.3981,-28.957,59.1398,-0.471924,-0.481689,-1,-13,35.8903,-35.1398,-7.29095,0.367591,35.8883,0.0102425,-2.93701,1,89.6205,101.501,230.953
283408,2493724288,1433,11,15.4977,8.96532,6.61762,10.7708,11.1432,0.857544,0.635864,-1,-11,19.6394,1.69731,-10.1148,16.7487,10.2562,1.26636,-1.40454,1,13,184.741,-22.6475,-27.0375,181.343,35.2695,2.33984,-2.26807,-1,-13,43.7164,6.09262,22.0758,37.2378,22.9011,1.2627,1.30151,1,64.1603,18.7451,93.8643
283408,424066403,255,13,45.9335,-26.5734,23.7797,-28.9526,35.6598,-0.741943,2.41162,-1,-13,40.6915,3.17833,34.1624,21.8773,34.3099,0.60083,1.47803,1,13,16.8361,9.81697,-0.280755,-13.6745,9.82098,-1.13354,-0.0285912,-1,-13,10.3351,-9.75337,-0.825771,-3.31573,9.78826,-0.332581,-3.05713,1,59.5753,21.175,92.7135
283408,1546996083,918,-11,40.5536,-20.8374,14.3481,31.6943,25.2995,1.04932,2.53857,1,11,37.1634,10.9947,17.5158,-30.8777,20.6806,-1.19092,1.01025,-1,-13,138.86,46.5003,-15.865,-129.877,49.1322,-1.69922,-0.328796,1,13,63.0054,-38.4387,-15.6747,-47.3966,41.5118,-0.978149,-2.75439,-1,90.9058,70.1932,216.854
283820,1345040615,762,11,53.7717,18.6075,44.9694,-22.8672,48.6671,-0.454102,1.17847,-1,-11,42.6359,11.4336,-37.8375,15.9817,39.5273,0.394043,-1.27734,1,13,270.173,-38.5957,55.8161,-261.511,67.8606,-2.05859,2.17578,-1,-13,59.2359,14.862,-22.8567,-52.5887,27.2637,-1.41138,-0.994263,1,91.0697,90.5622,276.84
283820,1352007003,766,-11,451.918,65.7281,-32.6167,-445.921,73.376,-2.50439,-0.460632,1,11,16.7108,-0.0801799,-15.6252,-5.92433,15.6254,-0.370605,-1.57593,-1,-13,127.618,-71.4308,56.0721,89.6658,90.8099,0.872437,2.47607,1,13,64.4199,4.01954,-11.2291,63.3061,11.9269,2.37109,-1.22705,-1,93.8696,83.2049,589.186
282037,1919452253,1073,-11,147.516,87.6093,31.3487,-114.468,93.0491,-1.03516,0.343628,1,11,41.2943,9.70139,-34.952,-19.7347,36.2734,-0.520264,-1.30005,-1,-13,247.498,-83.9905,-86.783,-216.031,120.771,-1.34497,-2.33984,1,13,142.485,-47.0335,18.2484,-133.255,50.4495,-1.69849,2.77148,-1,90.6738,90.3145,308.059
282733,172302832,91,13,75.3148,18.0865,-15.4222,71.4657,23.769,1.82056,-0.706055,-1,-13,17.9438,-3.32068,17.5721,1.47081,17.8831,0.0821533,1.75757,1,-13,14.1653,-10.9199,-4.88179,-7.58728,11.9615,-0.598022,-2.72119,1,13,6.74504,-5.92515,-1.28682,2.95315,6.06328,0.469604,-2.92773,-1,58.8441,15.4684,91.3721
282733,277542266,148,11,109.334,-29.2019,48.4427,93.5654,56.5637,1.27734,2.11328,-1,-11,61.3413,21.0929,-25.7451,51.527,33.2824,1.22119,-0.884399,1,13,348.163,-64.2308,-24.381,341.317,68.7025,2.30615,-2.77881,-1,-13,96.3876,22.9825,4.84704,93.4819,23.4881,2.08984,0.207855,1,86.5871,80.5727,199.456
282735,2147854409,1172,-11,249.988,-10.9978,82.624,235.683,83.3527,1.76245,1.70312,1,11,98.7132,44.3905,53.0619,70.4146,69.1815,0.893921,0.874146,-1,-13,130.165,-53.7356,-97.006,68.1553,110.895,0.581299,-2.07666,1,13,65.2602,22.2635,-15.972,59.2293,27.4002,1.51367,-0.622314,-1,91.4946,90.6062,328.096
283059,698677887,370,-11,22.292,-21.3909,-1.63235,6.05775,21.4531,0.278748,-3.06543,1,11,22.9241,18.84,-8.46138,9.94847,20.6529,0.464783,-0.422119,-1,13,43.1758,-42.4245,-0.351787,8.01078,42.426,0.187714,-3.1333,-1,-13,40.174,16.6313,27.0199,-24.6427,31.7282,-0.714355,1.01904,1,72.7604,40.9867,124.301
283059,791723999,419,11,65.0561,-9.60095,31.3838,56.1709,32.8196,1.30664,1.86768,-1,-11,38.2395,-14.2201,4.53292,-35.2065,14.9251,-1.59351,2.83301,1,-13,86.0067,33.4324,-14.537,-77.8979,36.4562,-1.50317,-0.410156,1,13,33.7545,-19.4855,-19.0245,19.9434,27.2326,0.678955,-2.36816,-1,91.5042,98.3011,219.734
283306,388471539,214,-11,60.4391,-29.3624,-52.6419,4.4243,60.277,0.0733337,-2.07959,1,11,43.7605,40.3173,4.87247,16.3021,40.6107,0.391357,0.12027,-1,-13,21.9413,19.8442,-8.84547,3.062,21.7263,0.140472,-0.419312,1,13,12.5403,-8.88643,8.84735,0.0660966,12.5397,0.00527096,2.3584,-1,89.5883,32.5442,126.101
283307,730351573,386,11,262.289,-11.4455,-140.042,221.478,140.509,1.23633,-1.65234,-1,-11,16.7081,5.36868,-14.0709,-7.23513,15.0603,-0.463623,-1.2063,1,-13,222.935,41.8137,-51.1251,212.927,66.0467,1.88696,-0.885254,1,13,19.4912,18.8472,4.36163,-2.37806,19.3453,-0.12262,0.227417,-1,90.2849,92.5911,219.324
283358,1536079452,845,-13,111.706,110.939,0.654697,-13.0477,110.941,-0.11734,0.00590134,1,-13,66.1699,-31.3255,25.3911,52.4637,40.3236,1.0791,2.46045,1,13,85.2907,-14.9099,-35.8096,75.9596,38.7896,1.4248,-1.96533,-1,13,21.0352,-17.1834,12.1188,0.578159,21.027,0.0274925,2.52734,-1,92.2572,64.8189,255.072
283946,427982093,329,-13,49.8174,42.5949,14.4194,21.4364,44.9694,0.460266,0.326416,1,13,63.8776,-18.7245,3.44832,60.9741,19.0394,1.88062,2.95947,-1,-13,28.3385,-7.92993,1.58887,27.1598,8.08753,1.92603,2.94385,1,13,12.5937,6.30772,-2.50426,10.608,6.78665,1.22925,-0.37793,-1,72.4294,15.6706,93.1901
