Run,Event,Lumi,PID1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,PID2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,PID3,E3,px3,py3,pz3,pt3,eta3,phi3,Q3,PID4,E4,px4,py4,pz4,pt4,eta4,phi4,Q4,mZ1,mZ2,mH
280251,405775912,222,11,95.1824,-19.7928,34.1789,-86.601,39.4962,-1.52661,2.0957,-1,-11,75.3401,18.8705,-27.2407,-67.6608,33.1384,-1.46216,-0.964966,1,-13,84.0752,38.2826,-18.1972,-72.608,42.3875,-1.30737,-0.443726,1,13,36.2168,-33.1515,13.4997,-5.5118,35.7947,-0.153381,2.75488,-1,91.2088,72.3342,174.783
280251,567460814,314,-13,56.9999,52.0701,21.6204,8.38059,56.3803,0.148102,0.393555,1,-13,65.7186,-54.4333,1.08939,-36.807,54.4442,-0.632935,3.12158,1,13,47.7536,34.5973,-24.2555,-22.2506,42.2528,-0.504883,-0.61145,-1,13,36.3273,-34.8073,-9.08684,-5.05444,35.9738,-0.140045,-2.88623,-1,90.7954,91.9674,198.847
280385,2115295967,1125,-13,72.4845,-63.2403,32.6471,13.7411,71.17,0.191895,2.66504,1,13,78.2749,29.2942,-62.6711,36.6215,69.1796,0.507324,-1.13354,-1,-13,41.6519,10.0069,34.6692,20.8033,36.0845,0.548584,1.28979,1,13,30.1196,20.3553,-1.78145,-22.1284,20.4331,-0.938843,-0.0872955,-1,93.5742,87.5524,217.012
278822,389209402,252,13,106.014,64.2595,-46.9853,-70.0152,79.6046,-0.793579,-0.631348,-1,-13,98.8261,59.6182,-43.2131,-65.9158,73.6322,-0.805298,-0.627197,1,13,123.973,-23.6883,12.5085,-121.045,26.788,-2.21338,2.65576,-1,-13,27.187,-3.67068,12.5784,-23.8208,13.103,-1.35913,1.85474,1,111.587,63.8948,185.296
278969,1274310281,767,13,63.827,23.1911,49.5514,-32.8741,54.7099,-0.56958,1.13306,-1,-13,50.3075,-27.8437,-29.5389,-29.7156,40.5933,-0.678711,-2.32666,1,13,33.6592,4.02736,-25.6881,-21.3736,26.0019,-0.749756,-1.41528,-1,-13,25.6084,2.28308,15.2427,-20.4506,15.4127,-1.09473,1.42212,1,93.2045,40.1803,138.101
278969,2289692824,1319,-11,49.0729,-0.114473,42.555,24.4378,42.5551,0.546631,1.57349,1,11,44.3214,-12.0543,-18.4741,-38.442,22.059,-1.32227,-2.14893,-1,13,34.8147,-1.68837,29.5192,-18.3799,29.5674,-0.58728,1.62793,-1,-13,20.2814,-18.9284,-4.07216,6.03793,19.3615,0.307007,-2.92969,1,88.3086,42.5518,133.519
279685,252496330,133,-13,79.5725,-48.9924,16.3052,-60.5447,51.6344,-0.998291,2.82031,1,13,122.654,6.22396,-50.1274,-111.77,50.5123,-1.53491,-1.44727,-1,-13,35.2598,11.2713,29.7371,-15.2283,31.8016,-0.462219,1.2085,1,13,23.8848,22.3766,1.11795,8.27708,22.4046,0.361511,0.0499191,-1,90.7203,36.9533,189.965
279694,461368672,258,-11,631.73,-8.20577,142.857,-615.311,143.092,-2.16504,1.62817,1,11,28.2875,7.28733,21.4408,-16.952,22.6454,-0.692017,1.24316,-1,-13,251.676,-49.5407,-79.4378,-233.615,93.6197,-1.64551,-2.12842,1,13,83.7089,-26.6548,-21.5836,-76.3599,34.2976,-1.54053,-2.46094,-1,94.1928,19.6787,305.062
279694,2663904472,1439,-13,48.1335,-24.689,-37.3972,-17.5707,44.8118,-0.38269,-2.1543,1,13,40.7265,33.3651,-23.3188,1.28005,40.7063,0.0314407,-0.609985,-1,-13,35.8798,29.833,-19.9207,-0.711767,35.8726,-0.0198402,-0.588745,1,13,8.93381,1.17697,-7.95059,3.89931,8.03724,0.467896,-1.42383,-1,62.2014,16.1143,90.963
279715,40862877,84,13,42.734,-14.0897,-19.9774,35.0509,24.4462,1.15747,-2.18506,-1,-13,23.7983,4.65125,22.7235,-5.32481,23.1947,-0.2276,1.3689,1,13,27.9136,19.7313,-11.9007,15.7546,23.0424,0.639282,-0.542725,-1,-13,16.4331,-5.29681,-8.04886,13.3115,9.63537,1.1272,-2.15283,1,58.705,22.7036,92.2861
