Run,Event,Lumi,pt,phi,eta,Q,MET,phiMET,Mt
279823,48686087,88,45.43366,2.3671875,2.140625,-1,36.59401,-0.39923096,80.119354
279823,47894313,88,49.08353,1.2045898,0.22439575,-1,57.093475,-1.9077148,105.86309
279823,49125944,88,38.50432,1.3000488,-0.0670166,-1,28.618885,-2.175293,65.469025
279823,49498353,88,47.657608,-1.5053711,1.3151855,-1,34.65359,2.5473633,72.988
279823,49211389,88,32.593197,-3.0605469,1.7319336,-1,64.05059,0.6236572,88.03827
279823,49544777,88,33.58986,-3.0043945,-2.0332031,-1,48.23416,2.2285156,40.358677
279823,49592108,88,33.644764,2.2075195,0.89172363,-1,42.904915,-1.2397461,75.101746
279823,48938726,88,38.092495,2.4848633,-1.7185059,-1,33.953312,-0.078125,68.93775
279823,49457124,88,153.88239,0.61621094,-2.225586,-1,72.64508,-0.07006836,71.14462
279823,49101971,88,37.298656,0.10888672,0.4111328,-1,21.54784,2.7836914,55.162113
279823,49004485,88,80.17959,-2.0595703,-1.7041016,-1,46.759846,-1.1796875,52.15456
279823,48830365,88,33.84665,-0.95214844,2.1098633,-1,41.811493,1.3164062,68.1826
279823,48377585,88,48.47372,-0.45489502,1.8603516,-1,32.032417,2.5493164,78.62355
279823,47871635,88,29.74328,-2.8896484,0.49194336,-1,58.733868,0.4039917,83.35132
279823,48541571,88,28.811466,1.4594727,-0.8696289,-1,20.414059,-0.69677734,42.73552
279823,49055210,88,58.15272,-0.9107666,-2.2993164,-1,51.81801,0.63342285,76.592316
279823,48703337,88,45.54245,-1.6970215,0.19247437,-1,56.00296,0.9448242,97.86835
279823,48217012,88,35.85657,-2.3027344,0.9622803,-1,42.692024,1.5073242,73.920395
279823,48214491,88,84.033264,0.8746338,0.29180908,-1,56.904675,-0.31378174,77.428925
279823,47843892,88,53.898834,2.6362305,0.046325684,-1,33.835365,0.31451416,78.33275
279823,47875219,88,28.794441,2.855957,-1.5529785,-1,33.58694,-1.5942383,49.351673
