Run,Event,Lumi,pt,phi,eta,Q,MET,phiMET,Mt
279823,48681430,88,34.28868,-0.023014069,-1.2373047,1,50.375484,-2.4047852,77.19504
279823,49497090,88,33.41143,-1.2895508,-1.0603027,-1,57.22435,1.8793945,87.44346
279823,48509504,88,43.451946,-0.43969727,2.114746,-1,57.205067,1.8615723,91.04028
279823,48467736,88,38.687904,2.3789062,-0.73461914,1,48.40318,-0.31933594,84.429726
279823,47848194,88,32.945953,1.6477051,0.6546631,-1,63.18364,-1.8557129,89.76089
279823,49403950,88,36.03949,-1.5507812,2.3095703,1,39.573826,1.8330078,74.97752
279823,48737857,88,39.32285,-0.021736145,1.2856445,-1,25.107641,2.4921875,59.773346
279823,48335193,88,38.735332,2.3012695,0.8634033,-1,34.65404,-1.829834,64.48892
279823,48927088,88,30.339613,2.9379883,-2.0180664,1,37.358902,-0.05682373,67.15238
279823,48084795,88,35.973312,-0.004055023,-1.6486816,-1,20.284615,3.0786133,54.00265
279823,49267269,88,32.58933,2.4365234,2.114746,1,26.165806,0.92297363,40.09831
279823,49048093,88,29.998987,-1.3579102,1.4335938,1,86.47459,1.5913086,101.39473
279823,49007391,88,31.881292,1.623291,1.4970703,-1,62.99157,-1.4816895,89.612045
279823,48674832,88,58.965397,-2.4907227,-1.8847656,1,49.80224,-0.19906616,98.74069
279823,48458567,88,53.578342,2.4892578,2.4726562,-1,41.99143,-0.805542,94.58656
279823,49320716,88,31.09349,-2.7841797,-0.12423706,-1,24.780495,-0.7907715,46.616154
279823,49534468,88,46.376865,0.56604004,-0.6945801,1,40.359444,-3.083496,83.75172
279823,49576647,88,30.335157,-0.30010986,1.0185547,-1,26.496532,2.440918,55.56846
279823,48772270,88,28.705786,-2.0688477,-1.996582,1,54.094566,2.1191406,68.26886
279823,48974694,88,31.636942,-2.6845703,-1.7541504,1,45.13511,0.8345947,74.23332
279823,48310562,88,31.513968,1.7216797,2.0424805,1,52.82884,-1.2404785,81.27685
279823,48213603,88,38.53052,2.5751953,0.40039062,-1,49.1138,-2.6992188,42.04591
279823,49462148,88,44.116318,-1.7766113,0.058746338,1,30.918316,3.0317383,49.665127
279823,48979117,88,29.049875,1.3708496,0.008398056,-1,55.391068,-1.0957031,75.70075
279823,48799073,88,27.491636,1.6816406,2.0083008,-1,43.04331,-1.6738281,68.40614
279823,47848707,88,34.908985,1.1513672,-1.8015137,-1,44.903385,-1.3078613,74.61994
279823,48552810,88,33.636612,0.36523438,-0.48937988,1,53.46884,-2.659668,84.67338
279823,49514834,88,30.887007,2.8442383,-1.1987305,-1,35.449657,-1.2751465,58.426754
279823,48812287,88,37.388607,0.12539673,-2.0175781,1,35.138626,-1.8041992,59.583897
279823,48561333,88,34.933323,-1.7451172,-1.0307617,1,45.47131,0.4008789,70.037025
279823,47750844,88,37.333344,-2.7402344,-1.2729492,-1,28.230362,-0.40777588,59.687187
279823,49700676,88,38.8903,-0.7293701,-2.4047852,-1,15.713492,2.4716797,49.419125
279823,49297825,88,27.73058,2.5878906,-0.84484863,1,62.10176,0.1425476,78.01817
279823,48623772,88,36.962364,1.1496582,-1.0158691,-1,46.47571,-1.9953613,82.89384
279823,47972972,88,38.775623,2.8129883,-0.1260376,-1,44.493584,-0.6921387,81.704094
279823,48560897,88,33.891415,-0.91967773,-0.5805664,1,45.700535,-2.415039,53.518757
279823,49296279,88,36.650257,3.0673828,-1.6025391,1,15.692581,0.15838623,47.640038
279823,49564893,88,95.5484,0.097213745,0.83618164,1,82.79025,-3.0615234,177.87518
279823,48425001,88,34.696205,0.06390381,-1.7915039,-1,42.62112,-2.0395508,66.77962
279823,48119572,88,221.81407,-1.4487305,-1.760498,1,31.307549,0.9017334,153.79665
279823,49162629,88,43.46998,-1.890625,-1.3742676,1,19.040274,1.2700195,57.53626
279823,48655419,88,64.705284,1.6811523,2.2109375,-1,12.3200655,-2.1875,52.77816
279823,48184854,88,67.28997,-2.0449219,1.9467773,-1,30.209223,2.0825195,79.43787
279823,48545797,88,34.963104,-1.7497559,-1.8022461,-1,71.45279,1.6123047,99.357475
279823,48654682,88,37.839916,3.1015625,0.59143066,1,106.525925,0.22122192,125.89745
279823,47785648,88,74.22466,-2.3530273,2.1577148,-1,60.806664,1.5600586,124.48971
279823,48474115,88,51.072033,-2.3232422,-2.1538086,1,32.755722,-0.81518555,56.000233
279823,48026125,88,39.924282,-2.2265625,-0.67089844,1,56.44666,0.17095947,88.44885
279823,47977939,88,144.70418,2.5292969,2.022461,1,56.550903,-0.15667725,176.24716
279823,48034794,88,49.121906,1.8686523,1.9482422,1,105.76472,-0.93066406,142.05183
279823,48093926,88,44.385036,-2.4052734,-0.4915161,1,79.56365,0.44537354,117.59639
279823,48289581,88,32.489998,-2.9223633,1.378418,1,80.14531,0.7980957,97.81226
279823,48991876,88,32.852608,0.8129883,0.9848633,-1,54.7036,-1.0241699,67.38263
