Run,Event,Lumi,pt,phi,eta,Q,MET,phiMET,Mt
283830,28795486,15,34.126694,1.8457031,-1.8754883,1,33.788387,-1.4968262,67.57177
283830,27776867,15,29.745314,3.1401367,0.6809082,1,30.643272,-0.51708984,58.386223
283830,27660655,15,42.646145,2.6875,1.2165527,1,31.088146,-0.34375,72.71198
283830,28704378,15,36.814175,-2.046875,-1.6069336,1,48.52446,1.9511719,76.89847
283830,27467936,15,52.47244,3.055664,-1.2009277,1,53.103836,-0.9818115,95.158485
283830,28338085,15,37.862354,3.008789,-0.61608887,1,47.14443,-0.6131592,82.07303
283830,29043099,15,25.655827,0.6263428,-1.6706543,1,49.186634,2.1748047,49.67377
283830,29151721,15,34.39187,1.6381836,-0.8050537,1,39.109463,-1.1704102,72.33542
283830,28076017,15,27.837566,-3.0058594,-2.227539,1,27.900398,2.5703125,19.295902
283830,27982578,15,60.002296,1.567627,-0.54797363,1,32.8365,2.6455078,45.561893
283830,27978495,15,31.299864,-2.6064453,2.2407227,1,64.94544,2.8935547,34.41544
283830,27730879,15,51.69772,-0.71069336,0.6113281,1,79.583336,-1.2949219,36.943275
283830,27659048,15,40.85877,1.6174316,1.0236816,1,38.356308,-0.7751465,73.68772
283830,29075949,15,28.23944,0.81359863,2.237793,1,15.150825,-2.8842773,39.779186
283830,29108070,15,25.389406,1.9416504,2.3017578,1,28.245558,1.1218262,21.344746
283830,27973107,15,45.386852,-1.4248047,1.8813477,1,53.1747,1.6391602,98.17939
283830,29205471,15,26.613977,-1.7629395,-0.86779785,1,43.978046,1.4924316,68.31242
283830,28051368,15,37.12363,3.0996094,-0.458313,1,31.712654,-0.54345703,66.477425
283830,27795569,15,68.603775,2.6108398,-1.6606445,1,34.905777,1.2939453,59.886044
283830,27514670,15,41.59885,2.8896484,1.0661621,1,24.081762,0.36621094,60.30204
283830,28113852,15,52.215294,0.8126221,-1.105957,1,67.099396,2.8867188,101.91639
283830,29169845,15,29.899319,2.727539,1.126709,1,34.559483,-2.1098633,42.531498
283830,28025667,15,25.608227,2.4418945,-0.117874146,1,25.29993,-0.1795044,49.19496
283830,28568905,15,34.863174,1.3310547,1.0263672,1,54.625847,-2.760254,77.62275
283830,28737099,15,49.32591,1.871582,-0.17150879,1,19.154282,-3.0649414,38.335575
283830,28848058,15,31.390553,-2.040039,-0.69921875,1,17.395533,-0.58862305,31.016829
283830,29099782,15,38.63187,2.0981445,-2.2041016,1,50.434048,2.190918,4.0935674
283830,28817124,15,38.22798,-2.3374023,1.3974609,1,24.429266,0.70202637,61.039227
283830,27825953,15,28.703491,1.2070312,1.4885254,1,31.178526,-1.9868164,59.810425
283830,28096349,15,35.873997,1.9555664,-2.2646484,1,42.013657,-1.3430176,77.406204
283830,27626815,15,28.580475,-0.91381836,1.189209,1,20.756926,-2.9057617,40.884346
283830,27437596,15,33.613194,1.5029297,2.0219727,1,33.914284,-0.7232666,60.57641
283830,28065978,15,37.51301,-1.9272461,-0.66101074,1,34.316216,-2.3486328,15.007334
283830,27737186,15,29.97929,-0.11206055,-1.2084961,1,52.608044,-2.8779297,78.02929
283830,27800260,15,34.99179,0.73669434,1.140625,1,42.665737,-2.4140625,77.27663
283830,27894285,15,42.77866,1.1677246,1.892334,1,58.30799,0.25756836,43.903446
283830,27951519,15,45.126953,-1.5080566,0.73657227,1,52.02524,0.7055664,86.66162
283830,29165772,15,26.170933,0.31933594,-0.20498657,1,13.269688,-2.3901367,36.404343
283830,29350315,15,28.266346,0.88720703,-1.1525879,1,43.34901,1.496582,21.002382
283830,28747133,15,36.18064,-1.8400879,1.0048828,1,31.64799,2.5371094,55.16715
283830,27744287,15,28.24763,-0.8248291,-0.6057129,1,16.332039,2.8251953,41.577087
283830,27735526,15,25.470966,2.8095703,-1.7138672,1,47.64037,-2.5024414,32.516483
