Run,Event,Lumi,pt,phi,eta,Q,MET,phiMET,Mt
283830,28822596,15,45.0831,2.680664,-0.71069336,-1,44.00614,0.42718506,80.44315
283830,28262226,15,53.143456,-0.19152832,0.3916626,-1,29.556446,2.4589844,76.88746
283830,28317709,15,25.36613,-1.2202148,-0.7619629,-1,19.365719,-1.1547852,1.449907
283830,27583038,15,60.70076,1.0976562,0.045951843,-1,36.690323,-0.21853638,57.726963
283830,27908912,15,75.00851,0.9733887,0.93518066,-1,15.8705845,1.6230469,22.022787
283830,27487260,15,27.512602,2.2617188,1.4492188,-1,30.450449,1.0046387,34.036407
283830,28356069,15,37.26963,1.1535645,1.7514648,-1,62.912205,-2.1425781,96.555504
283830,28576544,15,25.407873,-0.6315918,0.501709,-1,64.20368,2.7548828,80.17344
283830,28804888,15,52.525116,-2.630371,-1.1359863,-1,49.093212,0.7685547,100.72085
283830,29092793,15,32.13898,1.4697266,0.3945923,-1,30.040205,-0.9711914,58.368958
283830,28716116,15,26.550417,2.2324219,-1.4360352,-1,52.932617,-2.3515625,56.308884
283830,29300702,15,41.349625,2.6918945,-0.41644287,-1,32.066566,-0.30029297,72.62382
283830,28405603,15,27.663813,0.6098633,-0.8952637,-1,18.445868,-1.8710938,42.73649
283830,29145942,15,26.231102,-0.2012024,0.973999,-1,19.904165,2.7304688,45.447876
283830,28338718,15,88.946106,-0.10795593,1.5805664,-1,38.48599,-2.9433594,115.64725
283830,27827735,15,34.375385,-2.711914,0.89868164,-1,3.7203164,-0.6958008,19.129766
283830,28031546,15,35.982407,-2.0810547,-0.29779053,-1,45.914604,0.8647461,80.903275
283830,27826511,15,36.067886,1.9086914,1.112793,-1,110.491615,-1.5039062,125.09954
283830,28922216,15,38.459972,-1.9736328,0.16867065,-1,37.082066,1.7763672,72.06159
283830,27630282,15,37.740215,-0.64624023,1.2822266,-1,58.44458,2.4785156,93.92667
283830,27550278,15,44.334545,-1.6352539,1.119873,-1,28.047478,1.8476562,69.50128
283830,27872643,15,61.113895,0.350708,0.18539429,-1,19.794357,0.7011719,12.127157
283830,28097630,15,33.418533,1.8198242,1.3999023,-1,25.70538,-1.3898926,58.584633
283830,29044997,15,34.09043,-2.1347656,0.97473145,-1,74.63991,0.920166,100.79151
283830,27780516,15,67.44304,2.890625,-0.2008667,-1,6.0330486,-1.1474609,36.35735
283830,27994842,15,26.544418,0.07293701,0.034088135,-1,11.390766,0.45550537,6.6118107
283830,28321882,15,34.780636,-2.503418,-1.8476562,-1,44.655643,1.4887695,71.798485
283830,27705181,15,34.237595,0.6591797,1.5749512,-1,62.9447,-2.5805664,92.73379
283830,27709138,15,25.499937,-0.08113098,1.7094727,-1,16.006618,-2.442871,37.373306
283830,28207289,15,28.721024,2.046875,-2.0947266,-1,42.082294,-1.5957031,67.36115
283830,29250435,15,25.599981,-0.37194824,0.5932617,-1,62.512085,1.6281738,67.326805
283830,27704472,15,31.896078,-2.1513672,0.8223877,-1,36.247787,-0.2923584,54.493824
283830,28879599,15,47.646187,1.4211426,0.11213684,-1,95.114174,1.5690918,9.950682
283830,28263355,15,38.321274,1.6264648,-0.39855957,-1,28.252518,-1.560791,65.790825
283830,28266278,15,39.764492,0.553833,0.94226074,-1,40.04748,2.1064453,55.9198
283830,28886603,15,33.62942,-2.4550781,-1.989502,-1,14.929696,0.28338623,43.90687
283830,28291390,15,29.935383,-1.2939453,-1.0546875,-1,29.71412,2.515625,56.35302
283830,29276713,15,47.11058,1.8081055,-1.6940918,-1,25.522287,-1.0834961,68.80935
283830,27999987,15,32.162663,-0.5395508,0.28479004,-1,38.40811,2.2124023,68.96409
283830,27878497,15,30.74123,1.7902832,0.035972595,-1,48.920677,1.8496094,2.3003328
283830,28426893,15,29.765585,-2.9487305,-0.20751953,-1,51.56344,0.8153076,74.58935
283830,28536807,15,48.5411,1.1188965,-1.5114746,-1,52.748516,-2.020996,101.202156
